순위,제목,아티스트
순위,TOO BAD (feat. Anderson .Paak),G-DRAGON
1,like JENNIE,G-DRAGON
2,모르시나요(PROD.로코베리),제니 (JENNIE)
3,Drowning,제니 (JENNIE)
4,"HOME SWEET HOME (feat. 태양, 대성)",조째즈
5,나는 반딧불,조째즈
6,REBEL HEART,WOODZ
7,Whiplash,WOODZ
8,오늘만 I LOVE YOU,G-DRAGON
9,HOT,G-DRAGON
10,APT.,황가람
11,Flower,황가람
12,사랑은 늘 도망가,IVE (아이브)
13,HAPPY,IVE (아이브)
14,ATTITUDE,aespa
15,toxic till the end,aespa
16,천국보다 아름다운,BOYNEXTDOOR
17,I DO ME,BOYNEXTDOOR
18,내게 사랑이 뭐냐고 물어본다면,LE SSERAFIM (르세라핌)
19,우리들의 블루스,LE SSERAFIM (르세라핌)
20,PO￦ER,로제 (ROSÉ)
21,미치게 그리워서,Bruno Mars
22,TAKE ME,로제 (ROSÉ)
23,소나기,Bruno Mars
24,온기,오반(OVAN)
25,다시 만날 수 있을까,오반(OVAN)
26,한 페이지가 될 수 있게,임영웅
27,모래 알갱이,임영웅
28,Home,DAY6 (데이식스)
29,Welcome to the Show,DAY6 (데이식스)
30,이제 나만 믿어요,IVE (아이브)
31,천상연,IVE (아이브)
32,Die With A Smile,로제 (ROSÉ)
33,Supernova,로제 (ROSÉ)
34,청춘만화,임영웅
35,무지개,임영웅
36,London Boy,KiiiKiii (키키)
37,Do or Die,KiiiKiii (키키)
38,인생찬가,로이킴
39,예뻤어,로이킴
40,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",임영웅
41,DRIP,임영웅
42,MY LOVE(2025),G-DRAGON
43,Dash,G-DRAGON
44,슬픈 초대장,황가람
45,Love wins all,황가람
46,UP (KARINA Solo),G-DRAGON
47,내 이름 맑음,G-DRAGON
48,청혼하지 않을 이유를 못 찾았어,이클립스 (ECLIPSE)
49,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),이클립스 (ECLIPSE)
50,"무제(無題) (Untitled, 2014)",임영웅
51,The Chase,임영웅
52,어제보다 슬픈 오늘,임영웅
53,고민중독,임영웅
54,사랑인가 봐,DAY6 (데이식스)
55,너의 모든 순간,DAY6 (데이식스)
56,첫 만남은 계획대로 되지 않아,임영웅
57,RIZZ,임영웅
58,보금자리,임영웅
59,Island,임영웅
60,비의 랩소디,DAY6 (데이식스)
61,에피소드,DAY6 (데이식스)
62,"모든 날, 모든 순간 (Every day, Every Moment)",임영웅
63,Magnetic,임영웅
64,Chroma Drift,이창섭
65,How Sweet,이창섭
66,봄날,Lady Gaga
67,주저하는 연인들을 위해,Bruno Mars
68,Mantra,Lady Gaga
69,12:32 (A to T),Bruno Mars
70,나는 아픈 건 딱 질색이니까,aespa
71,다정히 내 이름을 부르면,aespa
72,Seven (feat. Latto) - Clean Ver.,이무진
73,헤어지자 말해요,이무진
74,너에게 닿기를,임영웅
75,이렇게 좋아해 본 적이 없어요,임영웅
76,I AM,임영웅
77,너와의 모든 지금,임영웅
78,Supersonic,임영웅
79,Sweet Dreams (feat. Miguel),임영웅
80,poppop,임영웅
81,인사,임영웅
82,Small girl (feat. 도경수(D.O.)),DAY6 (데이식스)
83,Hype Boy,DAY6 (데이식스)
84,숙녀에게,AKMU (악뮤)
85,미안해 미워해 사랑해,AKMU (악뮤)
86,취중고백,BABYMONSTER
87,사막에서 꽃을 피우듯,BABYMONSTER
88,Armageddon,이예은
89,Ditto,아샤트리
90,살기 위해서,전건호
91,녹아내려요,이예은
92,Sticky,아샤트리
93,DRAMA,전건호
94,해야 (HEYA),PLAVE
95,Supernatural,PLAVE
96,earthquake,순순희(지환)
97,LOVE ATTACK,순순희(지환)
98,number one girl,아이유
99,Melt Inside My Pocket,아이유
