이름,종류,주소,링크
All Day Dining Jurin,restaurant,"京王プラザホテル 内, 2-chōme-2−１ Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJE2tqZtSMGGARt24OI2Lv-MA
Y's Buffet restaurant,restaurant,"S-tec Information Building, 4階, 1-chōme-24−１ Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJ2yXsBNSMGGARtNM0cPYyQzw
Jade Garden,restaurant,"2-chōme-7-2 Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJR3s9zSrzGGARp32UICZCSTM
Art Lounge Duet,cafe,"京王プラザホテル 本館 3階, 2-chōme-2−１ Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJ4WIcdNSMGGARTrVIbeD_7LI
Higashiyama Shinjuku Main Store,restaurant,"Shinjuku NS Building, 29階, 2-chōme-4−１ Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJR4sOntOMGGARoWOvHsUP_L0
Yudetaro,restaurant,"新宿ワシントンホテル B1F, 3-chōme-2−９ Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJhXPtBNOMGGARJs-RCxNEsGA
Duo Fourchettes,meal_takeaway,"京王プラザホテル内, 2-chōme-2−１ Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJE2tqZtSMGGARXWmtD5CPZwY
CoCo Ichibanya,restaurant,"Shinjuku NS Building, １Ｆ, 2-chōme-4−１ Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJXQ4NntOMGGARptLUPdFxbEw
PRONTO - Nishi-Shinjuku,cafe,"Nishi-Shinjuku Showa Building, 1F, 1-chōme-13−１２ Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJKaP2UNGMGGARgKAoClztbmk
Koga,restaurant,"2-chōme-8-8-1 Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJoTcat9SMGGARuCAumMg0tMI
Starbucks Coffee - Shinjuku Green Tower Building,cafe,"新宿グリーンタワ, 6-chōme-14−１ Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJBZNaZ9XyGGARvKKg2t4b0w4
Godaigo Shinjuku NS Building,restaurant,"新宿 NS ビル ２９F, 2-chōme-4−１ Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJXQ4NntOMGGAR6KWamA18A-o
Patisserie Filou,bakery,"6-chōme-6-2 Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJbUijqirzGGARrIE4y7HD8OE
Hinoya Curry,restaurant,"大和家ビル 1F, 1-chōme-13−７ Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJVVXOW9GMGGARzJ3xnMJyAXY
KHANA Indian Restaurant,meal_delivery,"6-chōme-16-12 Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJAQBfjdXyGGARKUPAKzH-oro
Araumi,restaurant,"2-chōme-16-9 Yoyogi, Shibuya",https://www.google.com/maps/place/?q=place_id:ChIJCflEIdKMGGARjz5PvIkQEUQ
Sojibo Shinjuku Mitsui Building,restaurant,"2-chōme-1-1 Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJq2juqNWMGGARRX5OJMENYHY
Watanabe Soba,restaurant,"八洋ビル, 1-chōme-12−１０ Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJ2xj2RdGMGGARNAfVn_4178Y
Tonkatsu Ise Shinjuku NS Building,restaurant,"2-chōme-4-1 Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJXQ4NntOMGGAR1vUDBh1inok
Fumotoya Keio Plaza Hotel,restaurant,"2-chōme-2-1 Nishishinjuku, Shinjuku City",https://www.google.com/maps/place/?q=place_id:ChIJ4WIcdNSMGGARSoKIrKx2CC4
